年份,行,列,相关性
2015,AQI,SO2,0.5141772200171463
2015,AQI,CO,0.4635502676456004
2015,AQI,O3,-0.30651881855098545
2015,PM2.5,AQI,0.8531495630764346
2015,PM2.5,PM2.5,1.0
2015,PM2.5,PM10,0.7487530949385952
2015,PM2.5,NO2,0.6518027743043513
2015,PM2.5,SO2,0.6522022368184602
2015,PM2.5,CO,0.69738135861122
2015,PM2.5,O3,-0.5172318836383819
2015,PM10,AQI,0.9703229978800043
2015,PM10,PM2.5,0.7487530949385952
2015,PM10,PM10,1.0
2015,PM10,NO2,0.4718119634581099
2015,PM10,SO2,0.43743725646585
2015,PM10,CO,0.3466314133971171
2015,PM10,O3,-0.24205008687609808
2015,NO2,AQI,0.5354947983289492
2015,NO2,PM2.5,0.6518027743043513
2015,NO2,PM10,0.4718119634581099
2015,NO2,NO2,1.0
2015,NO2,SO2,0.6197401526088002
2015,NO2,CO,0.5989965776075978
2015,NO2,O3,-0.49874219573144957
2015,SO2,AQI,0.5141772200171463
2015,SO2,PM2.5,0.6522022368184602
2015,SO2,PM10,0.43743725646585
2015,SO2,NO2,0.6197401526088002
2015,SO2,SO2,1.0
2015,SO2,CO,0.8363774483130548
2015,SO2,O3,-0.5227191519218956
2015,CO,AQI,0.4635502676456004
2015,CO,PM2.5,0.69738135861122
2015,CO,PM10,0.3466314133971171
2015,CO,NO2,0.5989965776075978
2015,CO,SO2,0.8363774483130548
2015,CO,CO,1.0
2015,CO,O3,-0.5731543189740618
2015,O3,AQI,-0.30651881855098545
2015,O3,PM2.5,-0.5172318836383819
2015,O3,PM10,-0.24205008687609808
2015,O3,NO2,-0.49874219573144957
2015,O3,SO2,-0.5227191519218956
2015,O3,CO,-0.5731543189740618
2015,O3,O3,1.0
2016,AQI,AQI,1.0
2016,AQI,PM2.5,0.8926104502686503
2016,AQI,PM10,0.9780312949837741
2016,AQI,NO2,0.6481598390445937
2016,AQI,SO2,0.6703382129914971
2016,AQI,CO,0.6352540792330174
2016,AQI,O3,-0.4190253690535867
2016,PM2.5,AQI,0.8926104502686503
2016,PM2.5,PM2.5,1.0
2016,PM2.5,PM10,0.8534004621755936
2016,PM2.5,NO2,0.7595633174895464
2016,PM2.5,SO2,0.8174750539256805
2016,PM2.5,CO,0.8158399096520788
2016,PM2.5,O3,-0.6101022302640482
2016,PM10,AQI,0.9780312949837741
2016,PM10,PM2.5,0.8534004621755936
2016,PM10,PM10,1.0
2016,PM10,NO2,0.6197943855338457
2016,PM10,SO2,0.6297837080692256
2016,PM10,CO,0.5773822884359117
2016,PM10,O3,-0.445212556102248
2016,NO2,AQI,0.6481598390445937
2016,NO2,PM2.5,0.7595633174895464
2016,NO2,PM10,0.6197943855338457
2016,NO2,NO2,1.0
2016,NO2,SO2,0.744695711887038
2016,NO2,CO,0.8448539717880705
2016,NO2,O3,-0.5969185748894478
2016,SO2,AQI,0.6703382129914971
2016,SO2,PM2.5,0.8174750539256805
2016,SO2,PM10,0.6297837080692256
2016,SO2,NO2,0.744695711887038
2016,SO2,SO2,1.0
2016,SO2,CO,0.8654455488690227
2016,SO2,O3,-0.7489290537918527
2016,CO,AQI,0.6352540792330174
2016,CO,PM2.5,0.8158399096520788
2016,CO,PM10,0.5773822884359117
2016,CO,NO2,0.8448539717880705
2016,CO,SO2,0.8654455488690227
2016,CO,CO,1.0
2016,CO,O3,-0.6844808044725459
2016,O3,AQI,-0.4190253690535867
2016,O3,PM2.5,-0.6101022302640482
2016,O3,PM10,-0.445212556102248
2016,O3,NO2,-0.5969185748894478
2016,O3,SO2,-0.7489290537918527
2016,O3,CO,-0.6844808044725459
2016,O3,O3,1.0
2017,AQI,AQI,1.0
2017,AQI,PM2.5,0.8527618281629568
2017,AQI,PM10,0.9789444268809098
2017,AQI,NO2,0.5446450706361993
2017,AQI,SO2,0.5223743065316665
2017,AQI,CO,0.5507301994914284
2017,AQI,O3,-0.23557279261284808
2017,PM2.5,AQI,0.8527618281629568
2017,PM2.5,PM2.5,1.0
2017,PM2.5,PM10,0.8420994644966384
2017,PM2.5,NO2,0.6863607070898394
2017,PM2.5,SO2,0.6591171515519851
2017,PM2.5,CO,0.7415411956357572
2017,PM2.5,O3,-0.484240733319256
2017,PM10,AQI,0.9789444268809098
2017,PM10,PM2.5,0.8420994644966384
2017,PM10,PM10,1.0
2017,PM10,NO2,0.530579982791458
2017,PM10,SO2,0.5420785451011444
2017,PM10,CO,0.5438832080310838
2017,PM10,O3,-0.3129356584526276
2017,NO2,AQI,0.5446450706361993
2017,NO2,PM2.5,0.6863607070898394
2017,NO2,PM10,0.530579982791458
2017,NO2,NO2,1.0
2017,NO2,SO2,0.808333153632859
2017,NO2,CO,0.8867911364316184
2017,NO2,O3,-0.6342058152725649
2017,SO2,AQI,0.5223743065316665
2017,SO2,PM2.5,0.6591171515519851
2017,SO2,PM10,0.5420785451011444
2017,SO2,NO2,0.808333153632859
2017,SO2,SO2,1.0
2017,SO2,CO,0.8584097030321963
2017,SO2,O3,-0.6858154119838734
2017,CO,AQI,0.5507301994914284
2017,CO,PM2.5,0.7415411956357572
2017,CO,PM10,0.5438832080310838
2017,CO,NO2,0.8867911364316184
2017,CO,SO2,0.8584097030321963
2017,CO,CO,1.0
2017,CO,O3,-0.6750980147948412
2017,O3,AQI,-0.23557279261284808
2017,O3,PM2.5,-0.484240733319256
2017,O3,PM10,-0.3129356584526276
2017,O3,NO2,-0.6342058152725649
2017,O3,SO2,-0.6858154119838734
2017,O3,CO,-0.6750980147948412
2017,O3,O3,1.0
2018,AQI,AQI,1.0
2018,AQI,PM2.5,0.8520936261458872
2018,AQI,PM10,0.967408596946898
2018,AQI,NO2,0.398919138033061
2018,AQI,SO2,0.4196976006574167
2018,AQI,CO,0.4143654975642888
2018,AQI,O3,-0.06472809419758914
2018,PM2.5,AQI,0.8520936261458872
2018,PM2.5,PM2.5,1.0
2018,PM2.5,PM10,0.8483235410493478
2018,PM2.5,NO2,0.5416534177858979
2018,PM2.5,SO2,0.6067665602715937
2018,PM2.5,CO,0.6806778043312646
2018,PM2.5,O3,-0.39382275028199104
2018,PM10,AQI,0.967408596946898
2018,PM10,PM2.5,0.8483235410493478
2018,PM10,PM10,1.0
2018,PM10,NO2,0.39608030079599627
2018,PM10,SO2,0.43453921046998756
2018,PM10,CO,0.40823550438148243
2018,PM10,O3,-0.1785165347601399
2018,NO2,AQI,0.398919138033061
2018,NO2,PM2.5,0.5416534177858979
2018,NO2,PM10,0.39608030079599627
2018,NO2,NO2,1.0
2018,NO2,SO2,0.8096663113424918
2018,NO2,CO,0.8502768468472466
2018,NO2,O3,-0.4662378969961283
2018,SO2,AQI,0.4196976006574167
2018,SO2,PM2.5,0.6067665602715937
2018,SO2,PM10,0.43453921046998756
2018,SO2,NO2,0.8096663113424918
2018,SO2,SO2,1.0
2018,SO2,CO,0.865611924571717
2018,SO2,O3,-0.5476643510787645
2018,CO,AQI,0.4143654975642888
2018,CO,PM2.5,0.6806778043312646
2018,CO,PM10,0.40823550438148243
2018,CO,NO2,0.8502768468472466
2018,CO,SO2,0.865611924571717
2018,CO,CO,1.0
2018,CO,O3,-0.5732363917554353
2018,O3,AQI,-0.06472809419758914
2018,O3,PM2.5,-0.39382275028199104
2018,O3,PM10,-0.1785165347601399
2018,O3,NO2,-0.4662378969961283
2018,O3,SO2,-0.5476643510787645
2018,O3,CO,-0.5732363917554353
2018,O3,O3,1.0
2019,AQI,AQI,1.0
2019,AQI,PM2.5,0.8694102439046176
2019,AQI,PM10,0.9779176544786939
2019,AQI,NO2,0.6196985005128441
2019,AQI,SO2,0.5824902306536722
2019,AQI,CO,0.6311036619489447
2019,AQI,O3,-0.40752199534796724
2019,PM2.5,AQI,0.8694102439046176
2019,PM2.5,PM2.5,1.0
2019,PM2.5,PM10,0.8555439109053603
2019,PM2.5,NO2,0.7610763073515452
2019,PM2.5,SO2,0.7426493952220024
2019,PM2.5,CO,0.845624205910567
2019,PM2.5,O3,-0.673333810315606
2019,PM10,AQI,0.9779176544786939
2019,PM10,PM2.5,0.8555439109053603
2019,PM10,PM10,1.0
2019,PM10,NO2,0.6049874166717356
2019,PM10,SO2,0.585604452939811
2019,PM10,CO,0.6084709407107752
2019,PM10,O3,-0.45926272187942585
2019,NO2,AQI,0.6196985005128441
2019,NO2,PM2.5,0.7610763073515452
2019,NO2,PM10,0.6049874166717356
2019,NO2,NO2,1.0
2019,NO2,SO2,0.7816629078381298
2019,NO2,CO,0.8951024335603144
2019,NO2,O3,-0.7041067884862713
2019,SO2,AQI,0.5824902306536722
2019,SO2,PM2.5,0.7426493952220024
2019,SO2,PM10,0.585604452939811
2019,SO2,NO2,0.7816629078381298
2019,SO2,SO2,1.0
2019,SO2,CO,0.845909829913215
2019,SO2,O3,-0.7104898973457889
2019,CO,AQI,0.6311036619489447
2019,CO,PM2.5,0.845624205910567
2019,CO,PM10,0.6084709407107752
2019,CO,NO2,0.8951024335603144
2019,CO,SO2,0.845909829913215
2019,CO,CO,1.0
2019,CO,O3,-0.7464103594893952
2019,O3,AQI,-0.40752199534796724
2019,O3,PM2.5,-0.673333810315606
2019,O3,PM10,-0.45926272187942585
2019,O3,NO2,-0.7041067884862713
2019,O3,SO2,-0.7104898973457889
2019,O3,CO,-0.7464103594893952
2019,O3,O3,1.0
2020,AQI,AQI,1.0
2020,AQI,PM2.5,0.8378236759159948
2020,AQI,PM10,0.9711696889199564
2020,AQI,NO2,0.6085709206267256
2020,AQI,SO2,0.6082302780293416
2020,AQI,CO,0.5673583077612903
2020,AQI,O3,-0.3469663968055914
2020,PM2.5,AQI,0.8378236759159948
2020,PM2.5,PM2.5,1.0
2020,PM2.5,PM10,0.7501932857643008
2020,PM2.5,NO2,0.715507587553528
2020,PM2.5,SO2,0.7506736466406371
2020,PM2.5,CO,0.8103837103432249
2020,PM2.5,O3,-0.5925872234614483
2020,PM10,AQI,0.9711696889199564
2020,PM10,PM2.5,0.7501932857643008
2020,PM10,PM10,1.0
2020,PM10,NO2,0.5595377368056637
2020,PM10,SO2,0.552052417480994
2020,PM10,CO,0.48242280423795336
2020,PM10,O3,-0.3291540654121467
2020,NO2,AQI,0.6085709206267256
2020,NO2,PM2.5,0.715507587553528
2020,NO2,PM10,0.5595377368056637
2020,NO2,NO2,1.0
2020,NO2,SO2,0.8099739191283293
2020,NO2,CO,0.8280208125210357
2020,NO2,O3,-0.6802681951201001
2020,SO2,AQI,0.6082302780293416
2020,SO2,PM2.5,0.7506736466406371
2020,SO2,PM10,0.552052417480994
2020,SO2,NO2,0.8099739191283293
2020,SO2,SO2,1.0
2020,SO2,CO,0.8599047030638742
2020,SO2,O3,-0.6140617357684696
2020,CO,AQI,0.5673583077612903
2020,CO,PM2.5,0.8103837103432249
2020,CO,PM10,0.48242280423795336
2020,CO,NO2,0.8280208125210357
2020,CO,SO2,0.8599047030638742
2020,CO,CO,1.0
2020,CO,O3,-0.7003873095900913
2020,O3,AQI,-0.3469663968055914
2020,O3,PM2.5,-0.5925872234614483
2020,O3,PM10,-0.3291540654121467
2020,O3,NO2,-0.6802681951201001
2020,O3,SO2,-0.6140617357684696
2020,O3,CO,-0.7003873095900913
2020,O3,O3,1.0
2021,AQI,AQI,1.0
2021,AQI,PM2.5,0.8840833546653838
2021,AQI,PM10,0.9909973957591123
2021,AQI,NO2,0.4496958335289535
2021,AQI,SO2,0.39632153144542126
2021,AQI,CO,0.41821483419964156
2021,AQI,O3,-0.42141915242621547
2021,PM2.5,AQI,0.8840833546653838
2021,PM2.5,PM2.5,1.0
2021,PM2.5,PM10,0.8809551782051228
2021,PM2.5,NO2,0.6046386354526732
2021,PM2.5,SO2,0.5625368823396923
2021,PM2.5,CO,0.6164572018363029
2021,PM2.5,O3,-0.6548901227978022
2021,PM10,AQI,0.9909973957591123
2021,PM10,PM2.5,0.8809551782051228
2021,PM10,PM10,1.0
2021,PM10,NO2,0.43226839662024585
2021,PM10,SO2,0.38038869346430654
2021,PM10,CO,0.4139136645435949
2021,PM10,O3,-0.45104298614420796
2021,NO2,AQI,0.4496958335289535
2021,NO2,PM2.5,0.6046386354526732
2021,NO2,PM10,0.43226839662024585
2021,NO2,NO2,1.0
2021,NO2,SO2,0.8506331450743043
2021,NO2,CO,0.8425993110569617
2021,NO2,O3,-0.7392105916232289
2021,SO2,AQI,0.39632153144542126
2021,SO2,PM2.5,0.5625368823396923
2021,SO2,PM10,0.38038869346430654
2021,SO2,NO2,0.8506331450743043
2021,SO2,SO2,1.0
2021,SO2,CO,0.87617387244576
2021,SO2,O3,-0.6715241742816197
2021,CO,AQI,0.41821483419964156
2021,CO,PM2.5,0.6164572018363029
2021,CO,PM10,0.4139136645435949
2021,CO,NO2,0.8425993110569617
2021,CO,SO2,0.87617387244576
2021,CO,CO,1.0
2021,CO,O3,-0.7449722681493725
2021,O3,AQI,-0.42141915242621547
2021,O3,PM2.5,-0.6548901227978022
2021,O3,PM10,-0.45104298614420796
2021,O3,NO2,-0.7392105916232289
2021,O3,SO2,-0.6715241742816197
2021,O3,CO,-0.7449722681493725
2021,O3,O3,1.0
2022,AQI,AQI,1.0
2022,AQI,PM2.5,0.8774829675008485
2022,AQI,PM10,0.982922306404459
2022,AQI,NO2,0.5284058142199469
2022,AQI,SO2,0.5601306211257162
2022,AQI,CO,0.4977034752964571
2022,AQI,O3,-0.5070172499335739
2022,PM2.5,AQI,0.8774829675008485
2022,PM2.5,PM2.5,1.0
2022,PM2.5,PM10,0.8299272670591742
2022,PM2.5,NO2,0.6576826598615972
2022,PM2.5,SO2,0.6954712448181416
2022,PM2.5,CO,0.7258114250888035
2022,PM2.5,O3,-0.6681261242541086
2022,PM10,AQI,0.982922306404459
2022,PM10,PM2.5,0.8299272670591742
2022,PM10,PM10,1.0
2022,PM10,NO2,0.4823516978613039
2022,PM10,SO2,0.5152359180483361
2022,PM10,CO,0.433997654176421
2022,PM10,O3,-0.5065092380598133
2022,NO2,AQI,0.5284058142199469
2022,NO2,PM2.5,0.6576826598615972
2022,NO2,PM10,0.4823516978613039
2022,NO2,NO2,1.0
2022,NO2,SO2,0.8272584514908592
2022,NO2,CO,0.8389274723633572
2022,NO2,O3,-0.7993105660083446
2022,SO2,AQI,0.5601306211257162
2022,SO2,PM2.5,0.6954712448181416
2022,SO2,PM10,0.5152359180483361
2022,SO2,NO2,0.8272584514908592
2022,SO2,SO2,1.0
2022,SO2,CO,0.8282997483322362
2022,SO2,O3,-0.726935056743572
2022,CO,AQI,0.4977034752964571
2022,CO,PM2.5,0.7258114250888035
2022,CO,PM10,0.433997654176421
2022,CO,NO2,0.8389274723633572
2022,CO,SO2,0.8282997483322362
2022,CO,CO,1.0
2022,CO,O3,-0.7422677683912994
2022,O3,AQI,-0.5070172499335739
2022,O3,PM2.5,-0.6681261242541086
2022,O3,PM10,-0.5065092380598133
2022,O3,NO2,-0.7993105660083446
2022,O3,SO2,-0.726935056743572
2022,O3,CO,-0.7422677683912994
2022,O3,O3,1.0
2023,AQI,AQI,1.0
2023,AQI,PM2.5,0.9112043579629857
2023,AQI,PM10,0.9784080268530342
2023,AQI,NO2,0.43990679730063204
2023,AQI,SO2,0.5516391108014872
2023,AQI,CO,0.5083220842567504
2023,AQI,O3,-0.4242149139291278
2023,PM2.5,AQI,0.9112043579629857
2023,PM2.5,PM2.5,1.0
2023,PM2.5,PM10,0.85837010648906
2023,PM2.5,NO2,0.5951409034686077
2023,PM2.5,SO2,0.657571273116879
2023,PM2.5,CO,0.6976161785605852
2023,PM2.5,O3,-0.5913090395569999
2023,PM10,AQI,0.9784080268530342
2023,PM10,PM2.5,0.85837010648906
2023,PM10,PM10,1.0
2023,PM10,NO2,0.3703815013028191
2023,PM10,SO2,0.5066696241881908
2023,PM10,CO,0.4309772366759402
2023,PM10,O3,-0.4064724206204186
2023,NO2,AQI,0.43990679730063204
2023,NO2,PM2.5,0.5951409034686077
2023,NO2,PM10,0.3703815013028191
2023,NO2,NO2,1.0
2023,NO2,SO2,0.8016337930670969
2023,NO2,CO,0.9109495199787124
2023,NO2,O3,-0.8153017555397107
2023,SO2,AQI,0.5516391108014872
2023,SO2,PM2.5,0.657571273116879
2023,SO2,PM10,0.5066696241881908
2023,SO2,NO2,0.8016337930670969
2023,SO2,SO2,1.0
2023,SO2,CO,0.8496937097467583
2023,SO2,O3,-0.6624804927287635
2023,CO,AQI,0.5083220842567504
2023,CO,PM2.5,0.6976161785605852
2023,CO,PM10,0.4309772366759402
2023,CO,NO2,0.9109495199787124
2023,CO,SO2,0.8496937097467583
2023,CO,CO,1.0
2023,CO,O3,-0.7759469952081534
2023,O3,AQI,-0.4242149139291278
2023,O3,PM2.5,-0.5913090395569999
2023,O3,PM10,-0.4064724206204186
2023,O3,NO2,-0.8153017555397107
2023,O3,SO2,-0.6624804927287635
2023,O3,CO,-0.7759469952081534
2023,O3,O3,1.0
2024,AQI,AQI,1.0
2024,AQI,PM2.5,0.9316774313975292
2024,AQI,PM10,0.9707090808619083
2024,AQI,NO2,0.42626050488863376
2024,AQI,SO2,0.45108647153369996
2024,AQI,CO,0.4824913516065796
2024,AQI,O3,-0.3850727204966033
2024,PM2.5,AQI,0.9316774313975292
2024,PM2.5,PM2.5,1.0
2024,PM2.5,PM10,0.862110020400724
2024,PM2.5,NO2,0.5780133671391396
2024,PM2.5,SO2,0.5664048190366323
2024,PM2.5,CO,0.6673632062728019
2024,PM2.5,O3,-0.5643365947456902
2024,PM10,AQI,0.9707090808619083
2024,PM10,PM2.5,0.862110020400724
2024,PM10,PM10,1.0
2024,PM10,NO2,0.33258569883968453
2024,PM10,SO2,0.3689311510347901
2024,PM10,CO,0.37202426911778463
2024,PM10,O3,-0.33683414828350766
2024,NO2,AQI,0.42626050488863376
2024,NO2,PM2.5,0.5780133671391396
2024,NO2,PM10,0.33258569883968453
2024,NO2,NO2,1.0
2024,NO2,SO2,0.8307785025114721
2024,NO2,CO,0.893392460335917
2024,NO2,O3,-0.7829769298790544
2024,SO2,AQI,0.45108647153369996
2024,SO2,PM2.5,0.5664048190366323
2024,SO2,PM10,0.3689311510347901
2024,SO2,NO2,0.8307785025114721
2024,SO2,SO2,1.0
2024,SO2,CO,0.8388857112423979
2024,SO2,O3,-0.6404106164215588
2024,CO,AQI,0.4824913516065796
2024,CO,PM2.5,0.6673632062728019
2024,CO,PM10,0.37202426911778463
2024,CO,NO2,0.893392460335917
2024,CO,SO2,0.8388857112423979
2024,CO,CO,1.0
2024,CO,O3,-0.7702437642435449
2024,O3,AQI,-0.3850727204966033
2024,O3,PM2.5,-0.5643365947456902
2024,O3,PM10,-0.33683414828350766
2024,O3,NO2,-0.7829769298790544
2024,O3,SO2,-0.6404106164215588
2024,O3,CO,-0.7702437642435449
2024,O3,O3,1.0
2025,AQI,AQI,1.0
2025,AQI,PM2.5,0.8214916492018792
2025,AQI,PM10,0.9019160456765013
2025,AQI,NO2,0.3359219615464635
2025,AQI,SO2,0.42400317084183525
2025,AQI,CO,0.37121460178220733
2025,AQI,O3,-0.05985624365865772
2025,PM2.5,AQI,0.8214916492018792
2025,PM2.5,PM2.5,1.0
2025,PM2.5,PM10,0.8313047218295735
2025,PM2.5,NO2,0.5978462679952107
2025,PM2.5,SO2,0.5724869835057188
2025,PM2.5,CO,0.6843804343042079
2025,PM2.5,O3,-0.4745743223409446
2025,PM10,AQI,0.9019160456765013
2025,PM10,PM2.5,0.8313047218295735
2025,PM10,PM10,1.0
2025,PM10,NO2,0.3043936886119615
2025,PM10,SO2,0.35468407228959
2025,PM10,CO,0.319753916951567
2025,PM10,O3,-0.21574572754581586
2025,NO2,AQI,0.3359219615464635
2025,NO2,PM2.5,0.5978462679952107
2025,NO2,PM10,0.3043936886119615
2025,NO2,NO2,1.0
2025,NO2,SO2,0.7790340949440308
2025,NO2,CO,0.9029444319957469
2025,NO2,O3,-0.7338761040768252
2025,SO2,AQI,0.42400317084183525
2025,SO2,PM2.5,0.5724869835057188
2025,SO2,PM10,0.35468407228959
2025,SO2,NO2,0.7790340949440308
2025,SO2,SO2,1.0
2025,SO2,CO,0.7715873603709997
2025,SO2,O3,-0.45062393412565716
2025,CO,AQI,0.37121460178220733
2025,CO,PM2.5,0.6843804343042079
2025,CO,PM10,0.319753916951567
2025,CO,NO2,0.9029444319957469
2025,CO,SO2,0.7715873603709997
2025,CO,CO,1.0
2025,CO,O3,-0.74586175525544
2025,O3,AQI,-0.05985624365865772
2025,O3,PM2.5,-0.4745743223409446
2025,O3,PM10,-0.21574572754581586
2025,O3,NO2,-0.7338761040768252
2025,O3,SO2,-0.45062393412565716
2025,O3,CO,-0.74586175525544
2025,O3,O3,1.0
2026,AQI,AQI,1.0
2026,AQI,PM2.5,0.869362364898859
2026,AQI,PM10,0.9468737269446995
2026,AQI,NO2,0.09719631722694873
2026,AQI,SO2,0.19908314531085988
2026,AQI,CO,0.1708030382411821
2026,AQI,O3,-0.18918192481381238
2026,PM2.5,AQI,0.869362364898859
2026,PM2.5,PM2.5,1.0
2026,PM2.5,PM10,0.8849350109623991
2026,PM2.5,NO2,0.2650056881050127
2026,PM2.5,SO2,0.29510156433988627
2026,PM2.5,CO,0.4086717019210259
2026,PM2.5,O3,-0.45669373317432793
2026,PM10,AQI,0.9468737269446995
2026,PM10,PM2.5,0.8849350109623991
2026,PM10,PM10,1.0
2026,PM10,NO2,0.09217574676175104
2026,PM10,SO2,0.20563744090517988
2026,PM10,CO,0.1868003294918363
2026,PM10,O3,-0.2844565143314347
2026,NO2,AQI,0.09719631722694873
2026,NO2,PM2.5,0.2650056881050127
2026,NO2,PM10,0.09217574676175104
2026,NO2,NO2,1.0
2026,NO2,SO2,0.7760630552829255
2026,NO2,CO,0.8975210409312383
2026,NO2,O3,-0.760959912031745
2026,SO2,AQI,0.19908314531085988
2026,SO2,PM2.5,0.29510156433988627
2026,SO2,PM10,0.20563744090517988
2026,SO2,NO2,0.7760630552829255
2026,SO2,SO2,1.0
2026,SO2,CO,0.7986058584247653
2026,SO2,O3,-0.5856986948531178
2026,CO,AQI,0.1708030382411821
2026,CO,PM2.5,0.4086717019210259
2026,CO,PM10,0.1868003294918363
2026,CO,NO2,0.8975210409312383
2026,CO,SO2,0.7986058584247653
2026,CO,CO,1.0
2026,CO,O3,-0.859210218703041
2026,O3,AQI,-0.18918192481381238
2026,O3,PM2.5,-0.45669373317432793
2026,O3,PM10,-0.2844565143314347
2026,O3,NO2,-0.760959912031745
2026,O3,SO2,-0.5856986948531178
2026,O3,CO,-0.859210218703041
2026,O3,O3,1.0
